2014-2015 RPI,,,,,,,,,,,,
,,,,,,,,,,,,
Records reflect games against Division I opponents only.,,,,,,,,,,,,
,,,,,,,,,,,,
Click on team name for schedule and results. Clickable column headings will sort by that column.,,,,,,,,,,,,
,,,,,,,,,,,,
Shaded teams made the tournament,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,RPI Data,,,,,SOS,,Polls,
Rank,School,W-L,RPI,W,L,Pct,OWP,OOWP,Rank,Rating,AP,USA
201,Morehead St,15-17,0.4834,15.8,15.8,0.5,0.4785 (212),0.4764,217,0.4778,,
202,Winthrop,16-13,0.4828,15.2,10.2,0.5984,0.4323 (319),0.4684,317,0.4443,,
203,Santa Clara,18-Dec,0.4826,10.4,16.8,0.3824,0.5124 (128),0.5232,116,0.516,,
204,Vermont,17-13,0.4823,15,11,0.5769,0.4402 (301),0.4718,299,0.4508,,
205,Delaware St,16-17,0.4821,18,14.6,0.5521,0.4589 (268),0.4585,281,0.4588,,
206,Detroit,13-18,0.4821,11.4,16,0.4161,0.5055 (142),0.5012,145,0.5041,,
207,UW Milwaukee,16-Dec,0.4816,10,13.2,0.431,0.4968 (157),0.5017,154,0.4984,,
208,Southern California,20-Dec,0.4815,9.6,19.6,0.3288,0.5315 (94),0.5341,88,0.5324,,
209,SC Upstate,19-11,0.4811,18.2,9.8,0.65,0.4082 (343),0.458,341,0.4248,,
210,Texas A&M CC,17-13,0.4806,16.2,11.4,0.587,0.4331 (316),0.4693,314,0.4452,,
,,,,,,,,,,,,
,,,,,,,,,,,,
211,Charlotte,14-18,0.4805,13.2,16.8,0.44,0.4901 (176),0.5018,169,0.494,,
212,Mercer,16-15,0.4797,14.4,12.6,0.5333,0.4536 (277),0.4783,272,0.4618,,
213,South Dakota,15-16,0.4797,15.8,15.2,0.5097,0.4637 (255),0.4817,251,0.4697,,
214,Tulane,14-16,0.4757,13.2,17.6,0.4286,0.4794 (209),0.5153,176,0.4914,,
215,IPFW,13-14,0.4753,12.6,12.8,0.4961,0.4632 (257),0.4786,255,0.4683,,
216,Mississippi St,19-Dec,0.4748,10,19,0.3448,0.5125 (127),0.5292,109,0.5181,,
217,Florida Intl,14-17,0.4745,14,14.2,0.4965,0.4585 (269),0.4844,258,0.4671,,
218,Missouri,23-Aug,0.4735,4.8,22.2,0.1778,0.5873 (18),0.5415,21,0.572,,
219,Lamar,15-Nov,0.4715,9,10.6,0.4592,0.4772 (217),0.4722,225,0.4756,,
220,East Carolina,19-Dec,0.4705,8.8,16.6,0.3465,0.5081 (137),0.5194,124,0.5119,,
,,,,,,,,,,,,
,,,,,,,,,,,,
221,Western Carolina,13-17,0.4704,13.4,15,0.4718,0.4670 (246),0.4759,249,0.4699,,
